ID,latitude,longitude,name,TOPONIMO,INDIRIZZO,CIVICO,DESCRIZIONE,orari_comunicati,TELEFONO,E-MAIL,lunedimattina,lunedipomeriggio,martedimattina,martedipomeriggio,mercoledimattina,mercoledipomeriggio,giovedimattina,giovedipomeriggio,venerdimattina,venerdipomeriggio,sabatomattina,sabatopomeriggio,domenicamattina,domenicapomeriggio,h24
88,40.3385287,18.1808158,IV CIRCOLO SIGISMONDO CASTROMEDIANO,VIA,CANTOBELLI,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 7,30-16,30",,,07:00-13:59,14:00-16:30,07:00-13:59,14:00-16:30,07:00-13:59,14:00-16:30,07:00-13:59,14:00-16:30,07:00-13:59,14:00-16:30,,,,,
89,40.3778954,18.1298536,INTERFRUTTA,ZONA INDUSTRIALE,ZONA 3 CELESTE,,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 07,00-14,00 S 07,00-12,00",,,07:00-14:00,,07:00-14:00,,07:00-14:00,,07:00-14:00,,07:00-14:00,,07:00-12:00,,,,
90,40.3545986,18.1779104,STUDIO DENTISTICO PETRILLO,VIA,CESARE BATTISTI,20/B,POSTAZIONE CON DEFIBRILLATORE DAE,"L,G,V 15,00-19,00 MART 09,00-12,00",,,,15:00-19:00,09:00-12:00,,,,,15:00-19:00,,15:00-19:00,,,,,
91,40.3532803,18.1675378,STUDIO DENTISTICO CALO',VIA,DASUMNO,10,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 09,30-16,00",,,09:30-13:59,14:00-16:00,09:30-13:59,14:00-16:00,09:30-13:59,14:00-16:00,09:30-13:59,14:00-16:00,09:30-13:59,14:00-16:00,09:30-13:59,14:00-16:00,,,
92,40.358065,18.1181601,COMUNITA' EMMANUEL LE SORGENTI,VIA,STRADA PROV.LE LECCE NOVOLI,23,POSTAZIONE CON DEFIBRILLATORE DAE,"9,00-15,00",,,09:00-13:59,14:00-15:00,09:00-13:59,14:00-15:00,09:00-13:59,14:00-15:00,09:00-13:59,14:00-15:00,09:00-13:59,14:00-15:00,09:00-13:59,14:00-15:00,09:00-13:59,14:00-15:00,
93,40.3605497,18.1012532,COMUNITA' EMMANUEL VILLA MARSELLO,VIA,STRADA PROV.LE LECCE NOVOLI,49,POSTAZIONE CON DEFIBRILLATORE DAE,"8,00-13,00 14,00-18,00",,,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,
94,40.3476499,18.1647116,ADISU LECCE RESIDENZA UNIVERSITARIA,VIA,LOMBARDIA,11,POSTAZIONE CON DEFIBRILLATORE DAE,L/D 24/24,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,1
95,40.3536488,18.1945798,LAICA LIBERA ASSOCIAZIONE DELLE IMPRESE DEL SALENTO,VIA,CESARE ABBA,46,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 9,00-13,00 17,00-19,00",,,09:00-13:00,17:00-19:00,09:00-13:00,17:00-19:00,09:00-13:00,17:00-19:00,09:00-13:00,17:00-19:00,09:00-13:00,17:00-19:00,,,,,
96,40.3447211,18.1825795,PALESTRA EXCITE,VIA,CICOLELLA,3,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 7,00-23,00 S 7,00-19,00",,,07:00-13:59,14:00-23:00,07:00-13:59,14:00-23:00,07:00-13:59,14:00-23:00,07:00-13:59,14:00-23:00,07:00-13:59,14:00-23:00,07:00-13:59,14:00-19:00,,,
97,40.3609655,18.1578966,PALESTRA EXCITE PURE STRENGTH,VIA,FRA NICOLO' DA LEQUILE,18,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 8,00-23,00 S 8,00-19,00",,,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,08:00-13:59,14:00-23:00,08:00-13:59,14:00-19:00,,,
98,40.3489256,18.1741015,ISTITUTO MARCELLINE,VIALE,OTRANTO,67,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 8,30-12,00 16,00-19,00",,,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,08:30-12:00,16:00-19:00,,,
99,40.3534013,18.1727687,MCDONALD'S,PIAZZA,SANT'ORONZO,43,POSTAZIONE CON DEFIBRILLATORE DAE,"L/D 10,00-23,30",,,10:00-13:59,14:00-23:30,10:00-13:59,14:00-23:30,10:00-13:59,14:00-23:30,10:00-13:59,14:00-23:30,10:00-13:59,14:00-23:30,10:00-13:59,14:00-23:30,10:00-13:59,14:00-23:30,
100,40.367024,18.196739,CENTRO SPORTIVO KOLBE,VIA,TERNI,4,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 16,00-23,00",,,,16:00-23:00,,16:00-23:00,,16:00-23:00,,16:00-23:00,,16:00-23:00,,16:00-23:00,,,
101,40.351552,18.1627386,TRIBUNALE DEI MINORENNI,VIA,DALMAZIO BIRAGO,SNC,POSTAZIONE CON DEFIBRILLATORE DAE,"L/S 09,00-13,00 Merc/giov 15,00-17,00",,,09:00-13:00,,09:00-13:00,,09:00-13:00,15:00-17:00,09:00-13:00,15:00-17:00,09:00-13:00,,09:00-13:00,,,,
102,40.3583546,18.1788399,SCUOLA DI DANZA IN PUNTA DI PIEDI,VIA,GABRIELE D'ANNUNZIO,71,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 16,00-21,30",,,,16:00-21:30,,16:00-21:30,,16:00-21:30,,16:00-21:30,,16:00-21:30,,,,,
103,40.361806,18.2046824,A.S.D. BIANCO TEAM,VIALE,ROMA,SNC,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,14:30-16:00,,,,20:30-22:00,,,,,,,
104,40.3542818,18.1754379,"I CIRCOLO DIDATTICO ""CESARE BATTISTI""",VIA,ACHILLE COSTA,7,POSTAZIONE CON DEFIBRILLATORE DAE,"lun,merc,ven 07,30-14,30 mart,giov 07,30-18,00",,,07:30-13:59,14:00-14:30,07:30-13:59,14:00-18:00,07:30-13:59,14:00-14:30,07:30-13:59,14:00-18:00,07:30-13:59,14:00-14:30,,,,,
105,40.3555713,18.1873653,SCUOLA DELL'INFANZIA,PIAZZA,PARTIGIANI,SNC,POSTAZIONE CON DEFIBRILLATORE DAE,"L/V 07,30-16,00",,,07:30-13:59,14:00-16:00,07:30-13:59,14:00-16:00,07:30-13:59,14:00-16:00,07:30-13:59,14:00-16:00,07:30-13:59,14:00-16:00,,,,,
106,40.3624284,18.1829304,STUDIO FISIOTERAPEUTICO UN PASSO VERSO IL SOLE,VIA,DEI PALUMBO,39/41,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 09-13 15-21 S 09-13,,,09:00-13:00,15:00-21:00,09:00-13:00,15:00-21:00,09:00-13:00,15:00-21:00,09:00-13:00,15:00-21:00,09:00-13:00,15:00-21:00,09:00-13:00,,,,
107,40.3484898,18.1898822,"CONSERVATORIO MUSICALE ""TITO SCHIPA""",VIA,VINCENZO CIARDO,2,POSTAZIONE CON DEFIBRILLATORE DAE,L/S 08:00-20:00,,,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,,,
108,40.3523821,18.1743543,CASTELLO CARLO V,VIA,XXV LUGLIO,,POSTAZIONE CON DEFIBRILLATORE DAE,,,,,,,,,,,,,,,,,,
109,40.3490106,18.1499283,CROSSFIT SUD ASD,VIA,GIUSEPPE APRILE,10,POSTAZIONE CON DEFIBRILLATORE DAE,,,,07:30-11:30,14:00-21:00,07:30-11:30,14:00-21:00,07:30-11:30,14:00-21:00,,,07:30-11:30,14:00-21:00,09:00-11:30,17:00-18:30,,,
110,40.3369487,18.1240799,UNIVERSITA' DEL SALENTO ECOTEKNE EDIFICIO ISUFI,VIA,MONTERONI,,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 08:00-19:00,,,08:00-13:59,14:00-19:00,08:00-13:59,14:00-19:00,08:00-13:59,14:00-19:00,08:00-13:59,14:00-19:00,08:00-13:59,14:00-19:00,,,,,
111,40.3352925,18.1198728,UNIVERSITA' DEL SALENTO ECOTEKNE PLESSO E,VIA,MONTERONI,,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 08:00-19:00,,,08:00-13:59,14:00-19:00,08:00-13:59,14:00-19:00,08:00-13:59,14:00-19:00,08:00-13:59,14:00-19:00,08:00-13:59,14:00-19:00,,,,,
112,40.3348284,18.1173953,UNIVERSITA' DEL SALENTO ECOTEKNE EDIFICIO CENTRO CONGRESSI,VIA,MONTERONI,,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 08:00-18:00,,,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,08:00-13:59,14:00-18:00,,,,,
113,40.3497084,18.1672741,UNIVERSITA' DEL SALENTO RETTORATO EX CASERMA ROASIO,PIAZZETTA,TANCREDI,7,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 08:00-20:00 SAB 09:00-13:00,,,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,08:00-13:59,14:00-20:00,09:00-13-00,,,,
114,40.3584422,18.168113,"UNIVERSITA' DEL SALENTO SEDE ""EX SPERIMENTALE TABACCHI""",VIALE,FRANCESCO CALASSO,3,POSTAZIONE CON DEFIBRILLATORE DAE,L/V 07:30-18:00,,,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,07:30-13:59,14:00-18:00,,,,,
