id,denominazione,tipologia,indirizzo,quartiere,classificazione,posti_letto,camere,stato,tariffa_min,tariffa_max,lat,lon,data_inizio_attivita,comune
177,B&B IL CASALE DEI PRINCIPI,bed_and_breakfast,VIA DEI CONDO',FERROVIA – CASERMETTE,,3,6,ATTIVO,,,,,,Comune di Lecce
178,B&B LE CIVETTE,bed_and_breakfast,VIA MARTIRI D'OTRANTO,FERROVIA - CASERMETTE,,1,4,ATTIVO,,,,,,Comune di Lecce
179,B&B NOVANTANOVE,bed_and_breakfast,VIA GIUSEPPE ZANARDELLI,MAZZINI,,3,6,ATTIVO,,,,,,Comune di Lecce
180,B&B CASA DI LO',bed_and_breakfast,VIA NAZARIO SAURO,MAZZINI,,4,14,ATTIVO,,,,,,Comune di Lecce
181,B&B LA DIMORA DI VESTA,bed_and_breakfast,VIA IMPERATORE ADRIANO,MAZZINI,,3,5,ATTIVO,,,,,,Comune di Lecce
182,B&B PIAZZA 300MILA,bed_and_breakfast,VIA  QUARANTASETTESIMO REGGIMENTO FANTERIA,MAZZINI,,3,9,ATTIVO,80.0,,,,,Comune di Lecce
183,B&B EUIPPA HOME,bed_and_breakfast,VIA  EUIPPA,CENTRO,,2,5,ATTIVO,,,,,,Comune di Lecce
184,B&B RISVEGLIO COL ROSONE,bed_and_breakfast,VIA  UMBERTO PRIMO,CENTRO,,2,9,ATTIVO,100.0,,,,,Comune di Lecce
185,B&B ALVINO SUITE & BREAKFAST,bed_and_breakfast,VIA ROBERTO DI BICCARI,CENTRO,,6,15,ATTIVO,140.0,,,,,Comune di Lecce
186,B&B DAVID HOUSE,bed_and_breakfast,VIA FERRANTE CARACCIOLO,LEUCA,,1,4,ATTIVO,160.0,,,,,Comune di Lecce
187,B&B CASA CAPECE,bed_and_breakfast,VIA CORRADO CAPECE,CENTRO,,2,5,ATTIVO,,,,,,Comune di Lecce
188,B&B TRA I MARI DEL SALENTO,bed_and_breakfast,VIA GIOVAMBATTISTA GAGLIARDO,FERROVIA - CASERMETTE,,3,8,ATTIVO,100.0,,,,,Comune di Lecce
189,B&B AND SO PALADINI,bed_and_breakfast,VIA GUGLIELMO PALADINI,CENTRO,,3,6,ATTIVO,,,,,,Comune di Lecce
190,B&B AL CENTRO DI LECCE,bed_and_breakfast,VIA GIUSEPPE GIUSTI,MAZZINI,,1,4,ATTIVO,,,,,,Comune di Lecce
191,B&B DIMORA DEI BARONI,bed_and_breakfast,VIA ANTONIO GALATEO,CENTRO,,2,7,ATTIVO,,,,,,Comune di Lecce
192,B&B EXCELSIOR,bed_and_breakfast,VIA  GIAMMATTEO,SALESIANI,,2,6,ATTIVO,,,,,,Comune di Lecce
193,B&B IL PASTICCIOTTO,bed_and_breakfast,VIALE  ROMA,SAN SABINO,,1,5,ATTIVO,300.0,,,,,Comune di Lecce
194,B&B GREEN PARADISE,bed_and_breakfast,VIA GIOVANNI GENTILE,MAZZINI,,6,12,ATTIVO,,,,,,Comune di Lecce
195,B&B VIA GENTILE,bed_and_breakfast,VIA GIOVANNI GENTILE,MAZZINI,,6,12,ATTIVO,,,,,,Comune di Lecce
196,B&B ASTERISCO,bed_and_breakfast,VIALE DELLA LIBERTA',MAZZINI,,1,3,ATTIVO,,,,,,Comune di Lecce
197,B&B B&BAROCCO,bed_and_breakfast,VIALE DON MINZONI,LEUCA,,1,2,ATTIVO,,,,,,Comune di Lecce
198,B&B A SANTA ROSA,bed_and_breakfast,VIA  GARIGLIANO,SANTA ROSA,,2,5,ATTIVO,,,,,,Comune di Lecce
199,B&B DIMI HOUSE DI DOMENICO SOLANO,bed_and_breakfast,VIA FILIPPO BACILE,MAZZINI,,6,10,ATTIVO,,,,,,Comune di Lecce
200,B&B LE LUMINARIE,bed_and_breakfast,VIA GIUSEPPE PISANELLI,LEUCA,,3,9,ATTIVO,,,,,,Comune di Lecce
201,B&B LA CONTRORA,bed_and_breakfast,MASSAGLIA 3/A,,,3,8,ATTIVO,,,,,,Comune di Lecce
202,B&B LE SIGNORINE,bed_and_breakfast,VIALE DELL' UNIVERSITA',CENTRO,,3,7,ATTIVO,150.0,,,,,Comune di Lecce
203,B&B CENTRAL SUITES LECCE,bed_and_breakfast,VIA GIACOMO MATTEOTTI,CENTRO,,3,6,ATTIVO,,,,,,Comune di Lecce
204,B&B ADA SUITES,bed_and_breakfast,VIA DI VALESIO,RUDIAE - SAN PIO,,6,14,ATTIVO,,,,,,Comune di Lecce
205,B&B BAROCCO OBERDAN,bed_and_breakfast,VIA GUGLIELMO OBERDAN,MAZZINI,,4,10,ATTIVO,100.0,,,,,Comune di Lecce
206,B&B MIRE & SALLY,bed_and_breakfast,VICO DEI CRETY,CENTRO,,1,3,ATTIVO,90.0,,,,,Comune di Lecce
207,B&B VICO SFERRACAVALLI,bed_and_breakfast,VICO  SFERRACAVALLI,CENTRO,,1,4,ATTIVO,,,,,,Comune di Lecce
208,B&B TIFFANY'S HOUSE,bed_and_breakfast,PIAZZETTA SCIPIONE DA SUMMA,CENTRO,,1,4,ATTIVO,,,,,,Comune di Lecce
209,B&B MASSA HOUSE,bed_and_breakfast,VIA FRANCESCO ANTONIO D'AMELIO,CENTRO,,2,4,ATTIVO,,,,,,Comune di Lecce
210,B&B ROSA DEL SALENTO,bed_and_breakfast,VIALE  GALLIPOLI,CENTRO,,2,4,ATTIVO,90.0,,,,,Comune di Lecce
211,B&B FAMILY HOUSE,bed_and_breakfast,VIA  MINCIO,SANTA ROSA,,2,5,ATTIVO,,,,,,Comune di Lecce
212,B&B CASINA DELLE ARTI,bed_and_breakfast,VIALE CRISTOFORO COLOMBO,FRAZIONE SAN CATALDO,,1,5,ATTIVO,,,,,,Comune di Lecce
213,B&B LU SALENTU,bed_and_breakfast,VIA GIUSEPPE MANTOVANO,MAZZINI,,1,4,ATTIVO,,,,,,Comune di Lecce
214,B&B L'ORANGERIE D'EPOQUE,bed_and_breakfast,VIALE FRANCESCO LO RE,CENTRO,,4,8,ATTIVO,60.0,,,,,Comune di Lecce
215,B&B ORSINI DEL BALZO,bed_and_breakfast,VIA GIOVANNI ANTONIO ORSINI DEL BALZO,LEUCA,,2,6,ATTIVO,120.0,,,,,Comune di Lecce
216,B&B LUXMAMI,bed_and_breakfast,VIA GIACOMO PUCCINI,LEUCA,,1,3,ATTIVO,,,,,,Comune di Lecce
217,B&B KISSFROMSALENTO di A. GALATI,bed_and_breakfast,VIA DEI FIGULI,CENTRO,,2,6,ATTIVO,250.0,,,,,Comune di Lecce
218,B&B DIMORA SAN BIAGIO SUITES & APARTMENT,bed_and_breakfast,VIA ASCANIO GRANDI,CENTRO,,6,13,ATTIVO,,,,,,Comune di Lecce
219,B&B ACASADIENRICO.IT,bed_and_breakfast,VIALE DON MINZONI,LEUCA,,1,2,ATTIVO,,,,,,Comune di Lecce
220,B&B AGAPE ROOMS,bed_and_breakfast,VIA DELLA SINAGOGA,CENTRO,,2,4,ATTIVO,149.0,,,,,Comune di Lecce
221,B&B LECCE ANTICA,bed_and_breakfast,VIALE ORONZO QUARTA,FERROVIA - CASERMETTE,,3,17,ATTIVO,,,,,,Comune di Lecce
222,B&B TOMA ST.,bed_and_breakfast,VIA GIOACCHINO TOMA,RUDIAE - SAN PIO,,3,7,ATTIVO,80.0,,,,,Comune di Lecce
223,B&B CAT'S ROOM,bed_and_breakfast,PIAZZETTA ARTE DELLA STAMPA,CENTRO,,1,2,ATTIVO,100.0,,,,,Comune di Lecce
224,B&B IMBRIANI 24,bed_and_breakfast,VIA MATTEO RENATO IMBRIANI,MAZZINI,,3,9,ATTIVO,,,,,,Comune di Lecce
225,B&B CASA TUA,bed_and_breakfast,VIA DOMENICO DE ANGELIS,,,3,6,ATTIVO,,,,,,Comune di Lecce
226,B&B MERAKI,bed_and_breakfast,VIA DI LEUCA,,,1,4,ATTIVO,120.0,,,,,Comune di Lecce
227,B&B MADIGANS ROOMS,bed_and_breakfast,VIA  RUDIAE,FERROVIA - CASERMETTE,,6,16,ATTIVO,,,,,,Comune di Lecce
228,B&B IL SEGRETO,bed_and_breakfast,VICO DEI FIESCHI,CENTRO,,1,7,ATTIVO,75.0,,,,,Comune di Lecce
229,BED & BREAKFAST JOY,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,3,3,ATTIVO,,,,,,Comune di Lecce
230,B&B LE MURA,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,3,7,ATTIVO,,,,,,Comune di Lecce
231,ROSARIA'S SUITE AND ROOMS,bed_and_breakfast,VIA PADOVANO BAX,CENTRO,,3,9,ATTIVO,,,,,,Comune di Lecce
232,ANTICA DIMORA DEI NONNI,bed_and_breakfast,VIA CORRADO CAPECE,CENTRO,,3,9,ATTIVO,140.0,,,,,Comune di Lecce
233,LE STANZE DEL DUOMO,bed_and_breakfast,VIA LUIGI SCARAMBONE,CENTRO,,4,4,ATTIVO,60.0,,,,,Comune di Lecce
234,B&B GIANMARTI SRLS,bed_and_breakfast,VIA DUCA D'AOSTA,SALESIANI,,4,11,ATTIVO,300.0,,,,,Comune di Lecce
235,ALLE PORTE DEL SALENTO,bed_and_breakfast,VIA GIUSEPPE DE ROMA,BORGO SAN NICOLA,,2,8,ATTIVO,40.0,,,,,Comune di Lecce
236,TARANTA SUITE,bed_and_breakfast,VIA CESARE BATTISTI,MAZZINI,,3,13,ATTIVO,200.0,,,,,Comune di Lecce
237,B&B CHARLESTON,bed_and_breakfast,VIALE FRANCESCO LO RE,CENTRO,,6,12,ATTIVO,350.0,,,,,Comune di Lecce
238,MaGiA,bed_and_breakfast,VICO CONSERVATORIO SAN LEONARDO,CENTRO,,,,ATTIVO,35.0,,,,,Comune di Lecce
239,B&B DIMORA VILLANI,bed_and_breakfast,VIA  PROTONOBILISSIMI,CENTRO,,3,9,ATTIVO,300.0,,,,,Comune di Lecce
240,B&B MEME',bed_and_breakfast,VICO DEL PITTACIO,CENTRO,,3,8,ATTIVO,250.0,,,,,Comune di Lecce
241,EVERYDAY EVERYNIGHT,bed_and_breakfast,VIA GIUSEPPE GABRIELI,SALESIANI,,1,2,ATTIVO,50.0,,,,,Comune di Lecce
242,BED & BREAKFAST CORTE DEI MUSC,bed_and_breakfast,CORTE DEI MUSCO,CENTRO,,2,6,ATTIVO,130.0,,,,,Comune di Lecce
243,B&B AMATE' DI SPEDICATO PATRIZIA,bed_and_breakfast,VICO SAN GIUSTO,CENTRO,,3,8,ATTIVO,250.0,,,,,Comune di Lecce
244,PASSIONE DEL SUD,bed_and_breakfast,,,,2,5,ATTIVO,120.0,,,,,Comune di Lecce
245,NUVOLE BAROCCHE B & B,bed_and_breakfast,PIAZZETTA BRIZIO DE SANTIS,CENTRO,,2,6,ATTIVO,70.0,,,,,Comune di Lecce
246,TUILE 34,bed_and_breakfast,VIA GUGLIELMO OBERDAN,MAZZINI,,4,7,ATTIVO,100.0,,,,,Comune di Lecce
247,COL CUORE NEL CENTRO DI LECCE,bed_and_breakfast,VIA  GORIZIA,RUDIAE - SAN PIO,,1,4,ATTIVO,50.0,,,,,Comune di Lecce
248,B&B PANORAMIC SUITE,bed_and_breakfast,PIAZZA GIUSEPPE MAZZINI,MAZZINI,,3,15,ATTIVO,100.0,,,,,Comune di Lecce
249,B&B Last Minute Lecce,bed_and_breakfast,VIA DALMAZIO BIRAGO,RUDIAE - SAN PIO,,2,5,ATTIVO,280.0,,,,,Comune di Lecce
250,B&B PALAZZO DEI DONDOLI,bed_and_breakfast,VIA ALFONSO SOZY CARAFA,RUDIAE - SAN PIO,,6,18,ATTIVO,180.0,,,,,Comune di Lecce
251,PANGEA E PANTHALASSA,bed_and_breakfast,VIALE DELL' UNIVERSITA',CENTRO,,2,6,ATTIVO,,,,,,Comune di Lecce
252,ROOMS RUDIAE,bed_and_breakfast,VIA ARMANDO DIAZ,FERROVIA - CASERMETTE,,2,4,ATTIVO,120.0,,,,,Comune di Lecce
253,LA DIMORA STORICA,bed_and_breakfast,VICO DEL THEUTRA,CENTRO,,1,3,ATTIVO,140.0,,,,,Comune di Lecce
254,ABALTO,bed_and_breakfast,PIAZZA  SANT'ORONZO,CENTRO,,2,8,ATTIVO,70.0,,,,,Comune di Lecce
255,B&B CASA AMALIA,bed_and_breakfast,VIA  BELLINZONA,LEUCA,,1,3,ATTIVO,60.0,,,,,Comune di Lecce
256,B & B HOLIDAYS LECCE,bed_and_breakfast,VIA  SAN DOMENICO SAVIO,SALESIANI,,3,6,ATTIVO,90.0,,,,,Comune di Lecce
257,B & B KABALA JANG,bed_and_breakfast,VIA  IDOMENEO,CENTRO,,2,6,ATTIVO,80.0,,,,,Comune di Lecce
258,B&B LE MURA DI LECCE,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,3,7,ATTIVO,80.0,,,,,Comune di Lecce
259,DIMORA DELL'ARTISTA 2,bed_and_breakfast,VIA  GORIZIA,RUDIAE - SAN PIO,,4,4,ATTIVO,100.0,,,,,Comune di Lecce
260,B&B THE APULIAN,bed_and_breakfast,VIA GIUSEPPE CINO,CENTRO,,3,7,ATTIVO,65.0,,,,,Comune di Lecce
261,B&B IL CASTELLANO,bed_and_breakfast,VIA ANTONIO RENZO,CENTRO,,3,9,ATTIVO,120.0,,,,,Comune di Lecce
262,BNB FICO,bed_and_breakfast,VIA GIUSTINO DE JACOBIS,FERROVIA - CASERMETTE,,3,9,ATTIVO,100.0,,,,,Comune di Lecce
263,B&B LA DIMORA DEI PROFESSORI,bed_and_breakfast,VIA GIOACCHINO TOMA,RUDIAE - SAN PIO,,2,11,ATTIVO,78.0,,,,,Comune di Lecce
264,B&B ADA SUITES,bed_and_breakfast,VIA DI VALESIO,RUDIAE - SAN PIO,,2,6,ATTIVO,150.0,,,,,Comune di Lecce
265,B&B ASTRO BLU,bed_and_breakfast,VIA LUIGI MAGGIULLI,SANTA ROSA,,2,8,ATTIVO,50.0,,,,,Comune di Lecce
266,B&B LES TRES CHAMBRES,bed_and_breakfast,VIA BRACCIO MARTELLO,MAZZINI,,3,6,ATTIVO,100.0,,,,,Comune di Lecce
267,ECCELSOLECCESE,bed_and_breakfast,VIA ARMANDO DIAZ,FERROVIA - CASERMETTE,,2,4,ATTIVO,120.0,,,,,Comune di Lecce
268,B&B DIMORA VICO DEI NOHI,bed_and_breakfast,VICO DEI NOHI,CENTRO,,3,6,ATTIVO,100.0,,,,,Comune di Lecce
269,PALAZZO MARINI B&B DI CHARME,bed_and_breakfast,PIAZZETTA SAN GIOVANNI DEI FIORENTINI,CENTRO,,5,11,ATTIVO,170.0,,,,,Comune di Lecce
270,B&B PALAZZO SAMBIASI,bed_and_breakfast,VIA MARCO BASSEO,CENTRO,,1,5,ATTIVO,120.0,,,,,Comune di Lecce
271,B & B AZZURRETTA,bed_and_breakfast,VIA ANDREA VIGNES,CENTRO,,4,13,ATTIVO,150.0,,,,,Comune di Lecce
272,B&B LITIUM 3,bed_and_breakfast,PIAZZETTA ARCO DI PRATO,CENTRO,,4,9,ATTIVO,139.0,,,,,Comune di Lecce
273,B&B CASA SABELLA,bed_and_breakfast,VIA GIUSEPPE ZANARDELLI,MAZZINI,,3,6,ATTIVO,100.0,,,,,Comune di Lecce
274,B&B,bed_and_breakfast,VIA DALMAZIO BIRAGO,RUDIAE - SAN PIO,,2,4,ATTIVO,50.0,,,,,Comune di Lecce
275,CHEZ MOI LECCE CHARME B&B,bed_and_breakfast,VIA GAETANO BRUNETTI,CENTRO,,3,8,ATTIVO,160.0,,,,,Comune di Lecce
276,B&B PALAZZO LUCE,bed_and_breakfast,VIA DEL PALAZZO DEI CONTI DI LECCE,CENTRO,,5,11,ATTIVO,1000.0,,,,,Comune di Lecce
277,B&B ELLE SUITE,bed_and_breakfast,VIA VINCENZO MORELLI,CENTRO,,1,2,ATTIVO,150.0,,,,,Comune di Lecce
278,B&B GARDEN SUITE,bed_and_breakfast,VIA GUGLIELMO PALADINI,CENTRO,,3,5,ATTIVO,70.0,,,,,Comune di Lecce
279,B&B SIGNURIA,bed_and_breakfast,CORTE DELLE ARMELLINE,CENTRO,,4,9,ATTIVO,150.0,,,,,Comune di Lecce
280,B&B Ca' Mele,bed_and_breakfast,VIA SOTTOTENENTE MARIO DI LECCE,RUDIAE - SAN PIO,,1,4,ATTIVO,80.0,,,,,Comune di Lecce
281,B&B Cadelli Luxury Suite,bed_and_breakfast,CORTE DEI GUARINI,CENTRO,,9,9,ATTIVO,80.0,,,,,Comune di Lecce
282,B&B LIMEHOME PALAZZO BN,bed_and_breakfast,VIALE VENTICINQUE LUGLIO,CENTRO,,7,18,ATTIVO,1800.0,,,,,Comune di Lecce
283,B&B MAMMA SPLENDORA,bed_and_breakfast,VIA GUGLIELMOTTO D'OTRANTO,LEUCA,,1,6,ATTIVO,75.0,,,,,Comune di Lecce
284,B&B TABISCA ROOMS,bed_and_breakfast,VICO DIETRO LO SPEDALE DEI PELLEGRINI,CENTRO,,2,5,ATTIVO,150.0,,,,,Comune di Lecce
285,B&B NIKE,bed_and_breakfast,VIA CARLO BARBIERI,FERROVIA - CASERMETTE,,2,5,ATTIVO,100.0,,,,,Comune di Lecce
286,B&B BEVILACQUA MARIA CRISTINA,bed_and_breakfast,VIA PAOLO COLACI,RUDIAE - SAN PIO,,3,6,ATTIVO,40.0,,,,,Comune di Lecce
287,DIMORA SAN LEUCIO LUXURY ROOMS,bed_and_breakfast,VIA ABRAMO BALMES,CENTRO,,5,18,ATTIVO,350.0,,,,,Comune di Lecce
288,B&B VILLA REGINELLA,bed_and_breakfast,VIA MICHELE LAPORTA,FERROVIA - CASERMETTE,,3,12,ATTIVO,375.0,,,,,Comune di Lecce
289,B&B LARAZZO,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,3,6,ATTIVO,119.0,,,,,Comune di Lecce
290,B&B CANDIDO,bed_and_breakfast,VIA GIUSEPPE CANDIDO,LEUCA,,2,4,ATTIVO,60.0,,,,,Comune di Lecce
291,B&B BEDDHRA MIA,bed_and_breakfast,VIA DI TAFAGNANO,LEUCA,,3,6,ATTIVO,110.0,,,,,Comune di Lecce
292,B&B CUORE DEL PALIO,bed_and_breakfast,VIALE DELLA LIBERTA',SALESIANI,,1,5,ATTIVO,50.0,,,,,Comune di Lecce
293,B&B LA FINESTRA SUL CONVITTO,bed_and_breakfast,CORTE ANGELO MIALI,CENTRO,,2,6,ATTIVO,60.0,,,,,Comune di Lecce
294,B&B LA BELLA LECCE,bed_and_breakfast,VIA ANTONIO GALATEO,CENTRO,,1,1,ATTIVO,,,,,,Comune di Lecce
295,B&B ALLA VISTA DEL BAROCCO,bed_and_breakfast,VIALE DELL' UNIVERSITA',CENTRO,,2,5,ATTIVO,150.0,,,,,Comune di Lecce
296,B&B InCentro,bed_and_breakfast,VIA VITO FAZZI,CENTRO,,3,9,ATTIVO,150.0,,,,,Comune di Lecce
297,B&B PALAZZO BERNARDINI SUITE,bed_and_breakfast,VIA MARCO BASSEO,CENTRO,,4,8,ATTIVO,140.0,,,,,Comune di Lecce
298,B&B OHANA DI CARDONE LAURA,bed_and_breakfast,VIA FABIO FILZI,MAZZINI,,3,7,ATTIVO,120.0,,,,,Comune di Lecce
299,B&B WHITEHOUSE GENTILE,bed_and_breakfast,VIA  CAMPANIA,MAZZINI,,1,3,ATTIVO,150.0,,,,,Comune di Lecce
300,B&B DEGLI ARTISTI,bed_and_breakfast,VIA RICHEL RUBICHI,CENTRO,,3,9,ATTIVO,150.0,,,,,Comune di Lecce
301,B&B HABITARE,bed_and_breakfast,VIA DI VASTE,RUDIAE - SAN PIO,,3,6,ATTIVO,130.0,,,,,Comune di Lecce
302,B&B BACCO E BAROCCO,bed_and_breakfast,VIA CLEMENTE REBORA,,,2,5,ATTIVO,40.0,,,,,Comune di Lecce
303,B&B PALAZZO LECCE,bed_and_breakfast,VIA ROBERTO CARACCIOLO,CENTRO,,6,13,ATTIVO,400.0,,,,,Comune di Lecce
304,B&B PIAZZA ARGENTO,bed_and_breakfast,VIA  SAN BERNARDINO REALINO,LEUCA,,3,15,ATTIVO,50.0,,,,,Comune di Lecce
305,DON NINO B&B,bed_and_breakfast,VIA GIOVANNI CAMILLO PALMA,LEUCA,,3,9,ATTIVO,85.0,,,,,Comune di Lecce
306,B&B NUOVO REALE,bed_and_breakfast,VIA EGIDIO REALE,RUDIAE - SAN PIO,,6,12,ATTIVO,100.0,,,,,Comune di Lecce
307,B&B LA FITOLACCA,bed_and_breakfast,VIA  PAISIELLO,LEUCA,,3,5,ATTIVO,180.0,,,,,Comune di Lecce
308,B&B MALENNIO,bed_and_breakfast,VIA  MALENNIO,CENTRO,,2,5,ATTIVO,100.0,,,,,Comune di Lecce
309,B&B DISTINTO SUITE & ROOMS,bed_and_breakfast,VIA GUGLIELMO OBERDAN,MAZZINI,,2,4,ATTIVO,180.0,,,,,Comune di Lecce
310,B&B DIMORA DEI SALENTINI,bed_and_breakfast,VIA DI CASANELLO,SALESIANI,,4,12,ATTIVO,120.0,,,,,Comune di Lecce
311,B&B IL CORTILE,bed_and_breakfast,VIA GIOACCHINO TOMA,RUDIAE - SAN PIO,,1,3,ATTIVO,70.0,,,,,Comune di Lecce
312,B&B ANGELICA,bed_and_breakfast,VIA  POZZUOLO,RUDIAE - SAN PIO,,2,5,ATTIVO,80.0,,,,,Comune di Lecce
313,B&B PALAZZO CHARLIE DI NICKEL M.,bed_and_breakfast,PIAZZETTA DUCA D' ATENE,CENTRO,,4,8,ATTIVO,205.0,,,,,Comune di Lecce
314,B&B RELUXE,bed_and_breakfast,VIA DE ARGENTERIS,CENTRO,,2,4,ATTIVO,150.0,,,,,Comune di Lecce
315,B&B SUITE SAN BIAGIO,bed_and_breakfast,VIALE DON MINZONI,LEUCA,,2,8,ATTIVO,150.0,,,,,Comune di Lecce
316,B&B MATTEO DA LECCE,bed_and_breakfast,VIA MATTEO DA LECCE,CENTRO,,3,8,ATTIVO,160.0,,,,,Comune di Lecce
317,B&B CASINA FONTANA,bed_and_breakfast,VIA  SAN PIETRO IN LAMA,FERROVIA - CASERMETTE,,5,14,ATTIVO,200.0,,,,,Comune di Lecce
318,B&B MERABULO',bed_and_breakfast,VIA FABIO FILZI,MAZZINI,,3,9,ATTIVO,130.0,,,,,Comune di Lecce
319,B&B LECCE SALENTO,bed_and_breakfast,VIA DEI MOCENIGO,CENTRO,,5,12,ATTIVO,150.0,,,,,Comune di Lecce
320,B&B KALURYA,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,3,9,ATTIVO,50.0,,,,,Comune di Lecce
321,PALAZZO ROSSI,bed_and_breakfast,PIAZZETTA REGINA MARIA    (D'Enghien),CENTRO,,5,16,ATTIVO,130.0,,,,,Comune di Lecce
322,B&B I QUATTRO BALCONI ROOMS,bed_and_breakfast,VIA GUGLIELMO PALADINI,CENTRO,,3,5,ATTIVO,160.0,,,,,Comune di Lecce
323,B&B LE VOLTE DI VICO SAN LEONARDO,bed_and_breakfast,VICO CONSERVATORIO SAN LEONARDO,CENTRO,,1,4,ATTIVO,65.0,,,,,Comune di Lecce
324,B&B I SEI VOLTI,bed_and_breakfast,PIAZZETTA GABRIELE RICCARDI,CENTRO,,3,8,ATTIVO,,,,,,Comune di Lecce
325,B&B AEDES&B - IL GIARDINO DEI SOGNI,bed_and_breakfast,VIA  LOMBARDIA,FERROVIA - CASERMETTE,,6,18,ATTIVO,140.0,,,,,Comune di Lecce
326,B&B PAOLELLI PIERO,bed_and_breakfast,VIA GIULIO CESARE VANINI,RUDIAE - SAN PIO,,3,7,ATTIVO,120.0,,,,,Comune di Lecce
327,B&B DONNA TERESA GUEST HOUSE,bed_and_breakfast,VIA GIUSEPPE LIBERTINI,CENTRO,,3,6,ATTIVO,100.0,,,,,Comune di Lecce
328,B&B TOLOMEI SUITES,bed_and_breakfast,CORTE DEI TOLOMEI,CENTRO,,3,10,ATTIVO,250.0,,,,,Comune di Lecce
329,B&B SamEle BedandBreakfast,bed_and_breakfast,VIA GIUSTINO DE JACOBIS,RUDIAE - SAN PIO,,1,3,ATTIVO,120.0,,,,,Comune di Lecce
330,B&B A CLASS,bed_and_breakfast,VIA MATTEO RENATO IMBRIANI,MAZZINI,,3,9,ATTIVO,55.0,,,,,Comune di Lecce
331,B&B L'ATTICO PIAZZA S. ORONZO,bed_and_breakfast,VICO DEGLI STORELLA,CENTRO,,2,4,ATTIVO,100.0,,,,,Comune di Lecce
332,B&B DAMASA ROOMS,bed_and_breakfast,VIA DEGLI AMMIRATI,CENTRO,,5,14,ATTIVO,130.0,,,,,Comune di Lecce
333,B&B LA CASA DI NINA,bed_and_breakfast,VIA CHARLES LE CORBUSIER,FERROVIA - CASERMETTE,,1,2,ATTIVO,120.0,,,,,Comune di Lecce
334,B&B IL FILO DI ARIANNA,bed_and_breakfast,VIA  SARDEGNA,LEUCA,,3,6,ATTIVO,100.0,,,,,Comune di Lecce
335,B&B  TENUTA DON CARMELO,bed_and_breakfast,VIA DELLE CAVE DEL DUCA DI TORRE VECCHIA,LEUCA,,4,9,ATTIVO,250.0,,,,,Comune di Lecce
336,B&B PALAZZO PORCARI,bed_and_breakfast,PIAZZETTA ARCO DI PRATO,CENTRO,,3,9,ATTIVO,60.0,,,,,Comune di Lecce
337,B&B LECCE D'AMARE,bed_and_breakfast,VIA PIERO GOBETTI,MAZZINI,,2,6,ATTIVO,100.0,,,,,Comune di Lecce
338,B&B LUXATTICO,bed_and_breakfast,VIA FORMOSO LUBELLO,SANTA ROSA,,,,ATTIVO,500.0,,,,,Comune di Lecce
339,B&B ALEA ROOMS,bed_and_breakfast,VIA COSIMO DI PALMA,MAZZINI,,,,ATTIVO,,,,,,Comune di Lecce
340,B&B ARMONIA,bed_and_breakfast,VIALE FRANCESCO LO RE,CENTRO,,2,8,ATTIVO,,,,,,Comune di Lecce
341,B&B LE NICCHIE LUXURY ROOMS,bed_and_breakfast,VIA LUIGI SCARAMBONE,CENTRO,,3,8,ATTIVO,270.0,,,,,Comune di Lecce
342,B&B SALENTO GARDEN,bed_and_breakfast,VIA VITTORIO TONDI,SAN SABINO,,3,8,ATTIVO,180.0,,,,,Comune di Lecce
343,B&B DIMORA LE TRE MUSE,bed_and_breakfast,VIA  SAN CESARIO,LEUCA,,4,11,ATTIVO,250.0,,,,,Comune di Lecce
344,B&B LECCE PARKSIDE APARTMENT,bed_and_breakfast,VIA VECCHIA SURBO,RUDIAE - SAN PIO,,1,2,ATTIVO,300.0,,,,,Comune di Lecce
345,B&B LUXURY SUIES BY AND SO,bed_and_breakfast,VIA DEI PERRONI,CENTRO,,3,8,ATTIVO,50.0,,,,,Comune di Lecce
346,B&B MOSAICHOME,bed_and_breakfast,VIA  NIZZA,LEUCA,,1,3,ATTIVO,65.0,,,,,Comune di Lecce
347,B&B AI DUE SANTI,bed_and_breakfast,VIA GUGLIELMOTTO D'OTRANTO,LEUCA,,1,2,ATTIVO,120.0,,,,,Comune di Lecce
348,B&B VIANNA SUITES,bed_and_breakfast,VIA GAETANO BRUNETTI,CENTRO,,3,8,ATTIVO,300.0,,,,,Comune di Lecce
349,B&B DIPACE APARTMENT,bed_and_breakfast,VIA MONTE GRAPPA,FERROVIA - CASERMETTE,,3,5,ATTIVO,120.0,,,,,Comune di Lecce
350,B&B PALAZO CONSOLE DI RESCIO ALBERTO,bed_and_breakfast,VIA COLONNELLO ARCHIMEDE COSTADURA,SANTA ROSA,,5,10,ATTIVO,500.0,,,,,Comune di Lecce
351,B&B 2 SANTI,bed_and_breakfast,VIA  SANTI GIACOMO E FILIPPO,MAZZINI,,2,8,ATTIVO,90.0,,,,,Comune di Lecce
352,B&B VIA COTA,bed_and_breakfast,VIA  COTA,MAZZINI,,3,6,ATTIVO,150.0,,,,,Comune di Lecce
