data,tipo,codice_stato_cup,data_scadenza,via,civico,oggetto_contratto,stazione_appaltante
2024-04-07,CILA,Efficace,2024-09-08,Via Vittorio Emanuele,121,Pratica edilizia,Comune
2024-05-18,CILA,In istruttoria,,Via Garibaldi,111,Pratica edilizia,Comune
2024-03-09,CILA,In istruttoria,,Via XX Settembre,94,Pratica edilizia,Comune
2024-01-13,CILA,Acquisita,2024-05-08,Via della Repubblica,74,Pratica edilizia,Comune
2024-02-13,SCIA-Alternativa,In istruttoria,,Via della Repubblica,72,Pratica edilizia,Comune
2024-10-22,SCIA,Acquisita,,Via XX Settembre,96,Pratica edilizia,Comune
2024-06-18,CILA,In istruttoria,,Via Mazzini,51,Pratica edilizia,Comune
2024-10-17,CIL,Acquisita,2024-11-13,Via Mazzini,86,Pratica edilizia,Comune
2024-08-17,SCIA-Alternativa,Acquisita,2025-01-23,Via Mazzini,84,Pratica edilizia,Comune
2024-10-11,PdC,Efficace,,Piazza San Marco,77,Pratica edilizia,Comune
2024-10-11,SCIA-Alternativa,Rigettata,2025-03-07,Viale Europa,5,Pratica edilizia,Comune
2024-06-11,SCIA,Efficace,2024-12-19,Via Roma,122,Pratica edilizia,Comune
2024-05-21,CILA,Rigettata,2024-10-18,Via Mazzini,135,Pratica edilizia,Comune
2024-11-24,CIL,Acquisita,2025-02-17,Via Roma,147,Pratica edilizia,Comune
2024-12-04,CILA,Efficace,2025-04-14,Via Mazzini,106,Pratica edilizia,Comune
2024-12-07,CIL,Acquisita,2025-05-02,Viale Europa,16,Pratica edilizia,Comune
2024-12-05,CILA,Acquisita,2025-05-02,Via della Repubblica,97,Pratica edilizia,Comune
2024-06-06,SCIA-Alternativa,Acquisita,2024-09-27,Via Cavour,68,Pratica edilizia,Comune
2024-10-16,CILA,Acquisita,2025-01-23,Via Verdi,77,Pratica edilizia,Comune
2024-05-23,CILA,Rigettata,2024-09-07,Corso Italia,90,Pratica edilizia,Comune
2024-09-26,SCIA,Efficace,2025-03-12,Via XX Settembre,102,Pratica edilizia,Comune
2024-06-25,PdC,Efficace,2024-08-04,Via Dante,114,Pratica edilizia,Comune
2024-11-09,SCIA-Alternativa,Acquisita,2025-04-21,Via Manzoni,144,Pratica edilizia,Comune
2024-12-09,PdC,Efficace,2025-06-06,Via Verdi,63,Pratica edilizia,Comune
2024-01-22,CILA,Rigettata,2024-03-06,Via XX Settembre,85,Pratica edilizia,Comune
2024-12-16,SCIA,Rigettata,2025-01-04,Via della Repubblica,41,Pratica edilizia,Comune
2024-07-21,SCIA-Alternativa,Efficace,2024-10-25,Via Dante,74,Pratica edilizia,Comune
2024-11-02,SCIA,Rigettata,2025-04-13,Piazza San Marco,10,Pratica edilizia,Comune
2024-03-14,PdC,Efficace,,Via XX Settembre,127,Pratica edilizia,Comune
2024-03-24,SCIA,Efficace,2024-09-16,Via Vittorio Emanuele,28,Pratica edilizia,Comune
2024-06-10,SCIA-Alternativa,Rigettata,2024-11-11,Via San Francesco,35,Pratica edilizia,Comune
2024-09-15,SCIA,Acquisita,2025-01-02,Via Mazzini,118,Pratica edilizia,Comune
2024-11-09,PdC,Efficace,2025-02-15,Via Vittorio Emanuele,50,Pratica edilizia,Comune
2024-03-20,CIL,In istruttoria,,Via XX Settembre,132,Pratica edilizia,Comune
2024-06-03,CIL,Rigettata,2024-07-25,Corso Italia,83,Pratica edilizia,Comune
2024-04-01,SCIA,Efficace,2024-06-28,Via Dante,78,Pratica edilizia,Comune
2024-10-24,CILA,Efficace,2025-01-15,Via Roma,31,Pratica edilizia,Comune
2024-08-10,PdC,Efficace,2024-11-20,Piazza San Marco,31,Pratica edilizia,Comune
2024-11-10,CILA,Acquisita,2025-01-03,Corso Italia,40,Pratica edilizia,Comune
2024-08-24,CILA,Efficace,2025-01-19,Via dei Mille,138,Pratica edilizia,Comune
2024-11-27,CILA,In istruttoria,,Via Verdi,21,Pratica edilizia,Comune
2024-09-15,CILA,Efficace,,Via Garibaldi,16,Pratica edilizia,Comune
2024-09-17,CILA,Acquisita,2024-11-18,Via Dante,134,Pratica edilizia,Comune
2024-08-04,CILA,Rigettata,2024-09-14,Via San Francesco,131,Pratica edilizia,Comune
2024-08-26,CILA,Efficace,2025-01-07,Corso Italia,145,Pratica edilizia,Comune
2024-01-18,SCIA-Alternativa,Rigettata,2024-02-10,Via XX Settembre,66,Pratica edilizia,Comune
2024-01-24,CILA,Acquisita,2024-06-07,Via Dante,17,Pratica edilizia,Comune
2025-01-03,SCIA-Alternativa,Efficace,2025-03-08,Via dei Mille,35,Pratica edilizia,Comune
2025-11-24,CIL,Efficace,,Via XX Settembre,115,Pratica edilizia,Comune
2025-07-13,SCIA,Rigettata,,Viale Europa,139,Pratica edilizia,Comune
2025-03-21,CILA,Efficace,2025-09-05,Via XX Settembre,136,Pratica edilizia,Comune
2025-03-24,CILA,In istruttoria,,Via Roma,6,Pratica edilizia,Comune
2025-05-15,CIL,Acquisita,2025-08-04,Via Verdi,118,Pratica edilizia,Comune
2025-06-05,SCIA,Acquisita,,Piazza San Marco,29,Pratica edilizia,Comune
2025-01-26,CIL,Acquisita,2025-02-17,Via Verdi,53,Pratica edilizia,Comune
2025-02-04,CILA,Efficace,2025-03-03,Via Verdi,12,Pratica edilizia,Comune
2025-07-15,CILA,Acquisita,2025-08-16,Via Mazzini,129,Pratica edilizia,Comune
2025-05-08,CILA,Acquisita,2025-08-21,Via Verdi,78,Pratica edilizia,Comune
2025-03-22,CILA,Efficace,2025-04-24,Via della Repubblica,45,Pratica edilizia,Comune
2025-11-22,CIL,Acquisita,2026-03-13,Via Cavour,98,Pratica edilizia,Comune
2025-09-11,CIL,Efficace,2026-01-10,Via Mazzini,138,Pratica edilizia,Comune
2025-08-08,CILA,Efficace,,Via Mazzini,119,Pratica edilizia,Comune
2025-01-18,CIL,Efficace,2025-03-11,Via XX Settembre,63,Pratica edilizia,Comune
2025-05-07,CILA,Rigettata,2025-09-25,Viale Europa,95,Pratica edilizia,Comune
2025-02-18,CILA,Efficace,2025-08-19,Via Vittorio Emanuele,11,Pratica edilizia,Comune
2025-02-07,CILA,Efficace,2025-05-23,Via Manzoni,4,Pratica edilizia,Comune
2025-04-07,SCIA,Rigettata,,Corso Italia,63,Pratica edilizia,Comune
2025-12-20,CILA,Efficace,,Via della Repubblica,83,Pratica edilizia,Comune
2025-05-13,SCIA-Alternativa,Acquisita,2025-08-22,Via Manzoni,93,Pratica edilizia,Comune
2025-09-16,SCIA-Alternativa,Efficace,2026-02-11,Via dei Mille,82,Pratica edilizia,Comune
2025-04-12,CILA,Efficace,2025-06-27,Piazza San Marco,38,Pratica edilizia,Comune
2025-01-09,CIL,Efficace,2025-04-24,Via Verdi,98,Pratica edilizia,Comune
2025-10-27,CILA,Efficace,2026-02-16,Via Manzoni,126,Pratica edilizia,Comune
2025-12-21,SCIA-Alternativa,Efficace,2026-04-14,Via Mazzini,36,Pratica edilizia,Comune
2025-12-18,SCIA-Alternativa,Acquisita,,Via della Repubblica,16,Pratica edilizia,Comune
2025-09-02,SCIA,In istruttoria,,Via Cavour,13,Pratica edilizia,Comune
2025-01-14,PdC,In istruttoria,,Via Cavour,60,Pratica edilizia,Comune
2025-02-23,PdC,Efficace,2025-07-14,Via Dante,16,Pratica edilizia,Comune
2025-10-21,SCIA-Alternativa,Rigettata,2025-11-09,Via della Repubblica,142,Pratica edilizia,Comune
2025-07-01,CILA,Acquisita,2025-12-13,Via Manzoni,5,Pratica edilizia,Comune
2025-09-27,CIL,In istruttoria,,Via San Francesco,46,Pratica edilizia,Comune
2025-02-04,PdC,Acquisita,2025-07-13,Via Manzoni,91,Pratica edilizia,Comune
2025-05-26,CIL,Efficace,2025-10-04,Corso Italia,145,Pratica edilizia,Comune
2025-04-23,CILA,Efficace,2025-06-02,Via Cavour,9,Pratica edilizia,Comune
2025-02-13,CIL,Efficace,2025-03-14,Via Cavour,3,Pratica edilizia,Comune
2025-12-06,SCIA,Efficace,2026-06-18,Via dei Mille,85,Pratica edilizia,Comune
2025-10-28,SCIA,Acquisita,,Via Verdi,55,Pratica edilizia,Comune
2025-12-19,SCIA-Alternativa,Efficace,2026-01-25,Via Cavour,72,Pratica edilizia,Comune
2025-09-19,CILA,Acquisita,,Via Dante,5,Pratica edilizia,Comune
2025-04-19,PdC,In istruttoria,,Viale Europa,102,Pratica edilizia,Comune
2025-02-10,PdC,Acquisita,2025-06-12,Via Cavour,139,Pratica edilizia,Comune
2025-06-13,PdC,In istruttoria,,Piazza San Marco,21,Pratica edilizia,Comune
2025-09-24,CILA,Efficace,2025-12-14,Viale Europa,20,Pratica edilizia,Comune
2025-06-20,CIL,In istruttoria,,Via Dante,8,Pratica edilizia,Comune
2025-11-09,SCIA-Alternativa,Efficace,2026-04-25,Via XX Settembre,111,Pratica edilizia,Comune
2025-03-22,CIL,Efficace,2025-06-28,Via dei Mille,64,Pratica edilizia,Comune
2025-12-03,SCIA,Efficace,2026-06-12,Via Mazzini,100,Pratica edilizia,Comune
2025-06-12,SCIA,Efficace,2025-09-21,Corso Italia,93,Pratica edilizia,Comune
2025-05-04,PdC,Efficace,2025-09-21,Via della Repubblica,143,Pratica edilizia,Comune
